Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
47569,47569_002,47569_002_012,Sharif,2006,e1061,-999,-0.02,Cohen's d,-0.08,0.04,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_013,Sharma,2017,e383,1234,-0.22,Cohen's d,-0.33,-0.11,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_014,Shejwal,2006,201,368,-0.61,Cohen's d,-0.82,-0.4,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_015,Shejwal,2006,201,286,-0.78,Cohen's d,-1.02,-0.54,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_016,Vassiloudis,2014,164,528,-0.58,Cohen's d,-0.76,-0.41,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_017,Walberg,1982,285,2001,-0.24,Cohen's d,-0.33,-0.15,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_018,Welch,1986,699,1960,-0.2,Cohen's d,-0.29,-0.11,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_001,Adelanto-Renau,2019,410,269,-0.22,Cohen's d,-0.45,0.01,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_002,Fetler,1984,104,10603,-0.18,Cohen's d,-0.22,-0.14,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_003,Pierce,1983,445,102,-0.77,Cohen's d,-1.17,-0.37,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_004,Potter,1987,27,543,-0.07,Cohen's d,-0.19,0.05,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_005,Ribner,2017,233,807,-0.3,Cohen's d,-0.43,-0.16,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_006,Ridley-Johnson,1983,294,322,-0.28,Cohen's d,-0.5,-0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_007,Shin,2004,367,1203,-0.2,Cohen's d,-0.31,-0.09,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_003,47569_003_008,Walberg,1984,442,2912,0.28,Cohen's d,0.21,0.35,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_001,Adelanto-Renau,2019,410,269,0,Cohen's d,-0.23,0.23,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_002,Fetler,1984,104,10603,-0.22,Cohen's d,-0.26,-0.18,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_003,Potter,1987,27,543,-0.16,Cohen's d,-0.33,0.01,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_004,Ribner,2017,233,807,-0.52,Cohen's d,-0.66,-0.37,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_005,Ridley-Johnson,1983,294,322,-0.28,Cohen's d,-0.5,-0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_006,Shejwal,2006,201,368,-0.27,Cohen's d,-0.48,-0.07,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_004,47569_004_007,Shin,2004,367,1203,-0.22,Cohen's d,-0.3,-0.14,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_001,Adelanto-Renau,2019,410,269,-0.17,Cohen's d,-0.41,0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_002,Ferguson,2011,808,603,-0.1,Cohen's d,-0.26,0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_003,Hastings,2009,638,70,-0.18,Cohen's d,-0.65,0.29,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_004,Jeong,2011,213,600,-0.3,Cohen's d,-0.46,-0.14,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_005,Kiatrungrit,2014,216,768,-0.19,Cohen's d,-0.33,-0.05,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_006,Leng,2009,1082,236,-0.41,Cohen's d,-0.61,-0.22,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_007,Sharif,2006,e1061,-999,-0.06,Cohen's d,-0.16,-0.01,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_008,Sharif,2006,e1061,-999,-0.1,Cohen's d,-0.11,-0.04,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_009,Van Schie,1997,1175,346,0.1,Cohen's d,0.1,0.31,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_005,47569_005_010,Vassiloudis,2014,164,528,-0.2,Cohen's d,-0.2,-0.03,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47837,47837_001,47837_001_001,Bacque,2017,722,60,-0.3,Standard Mean Difference,-0.91,0.3,-999,-999,-999,-999,30,30,-999,-999,FALSE
47837,47837_001,47837_001_002,Howell,2018,e27216,94,0.04,Standard Mean Difference,-0.44,0.51,-999,-999,-999,-999,63,31,-999,-999,FALSE
47837,47837_001,47837_001_003,Maddison,2011,156,322,0.03,Standard Mean Difference,-0.19,0.25,-999,-999,-999,-999,160,162,-999,-999,FALSE
47837,47837_001,47837_001_004,Maloney,2012,96,64,-0.06,Standard Mean Difference,-0.87,0.75,-999,-999,-999,-999,33,31,-999,-999,FALSE
